attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
d,b,a,9.0,2.0,4.0,18.0,13.0
b,d,c,5.0,7.0,16.0,14.0,1.0
b,c,?,4.0,9.0,23.0,12.0,14.0
c,a,c,1.0,4.0,6.0,0.0,18.0
b,c,d,4.0,NaN,17.0,7.0,17.0
b,c,b,4.0,8.0,21.0,8.0,1.0
a,b,?,7.0,NaN,18.0,10.0,0.0
d,?,a,4.0,7.0,19.0,14.0,14.0
b,a,b,4.0,0.0,21.0,11.0,3.0
d,c,d,7.0,0.0,16.0,13.0,19.0
a,c,?,6.0,4.0,3.0,9.0,18.0
c,d,a,3.0,7.0,7.0,6.0,14.0
a,?,b,NaN,5.0,1.0,12.0,5.0
d,?,c,5.0,NaN,16.0,19.0,11.0
d,d,c,3.0,1.0,3.0,8.0,2.0
b,b,a,1.0,2.0,10.0,17.0,2.0
a,b,a,4.0,3.0,25.0,13.0,15.0
d,d,d,5.0,NaN,15.0,16.0,17.0
b,c,c,7.0,9.0,18.0,2.0,5.0
c,c,c,4.0,NaN,29.0,18.0,14.0
b,c,d,3.0,4.0,19.0,9.0,1.0
a,c,b,7.0,0.0,4.0,9.0,17.0
d,d,?,5.0,8.0,13.0,5.0,13.0
a,?,c,3.0,1.0,6.0,19.0,11.0
b,a,c,3.0,8.0,29.0,2.0,12.0
b,b,b,5.0,0.0,2.0,10.0,10.0
a,c,c,9.0,9.0,11.0,5.0,14.0
d,a,c,1.0,4.0,10.0,15.0,4.0
b,b,c,8.0,2.0,22.0,2.0,13.0
c,b,b,9.0,5.0,10.0,15.0,4.0
c,b,a,8.0,5.0,3.0,18.0,9.0
d,d,d,5.0,8.0,6.0,15.0,11.0
c,b,b,5.0,6.0,29.0,18.0,1.0
?,b,?,1.0,9.0,9.0,12.0,17.0
c,a,c,0.0,5.0,23.0,2.0,17.0
b,a,a,4.0,7.0,5.0,1.0,5.0
c,a,c,7.0,6.0,16.0,5.0,9.0
a,d,d,1.0,9.0,12.0,3.0,9.0
b,?,c,0.0,4.0,NaN,11.0,15.0
d,d,c,7.0,0.0,3.0,18.0,3.0
b,c,d,0.0,6.0,18.0,13.0,13.0
?,?,b,NaN,6.0,25.0,4.0,18.0
d,?,?,0.0,4.0,16.0,6.0,13.0
?,a,b,9.0,4.0,10.0,7.0,4.0
?,a,d,NaN,3.0,25.0,16.0,10.0
d,a,?,5.0,3.0,17.0,5.0,5.0
?,a,d,3.0,NaN,NaN,14.0,0.0
b,c,c,5.0,1.0,29.0,15.0,19.0
d,?,a,4.0,3.0,14.0,4.0,11.0
c,?,b,5.0,3.0,2.0,10.0,18.0
d,c,c,6.0,NaN,3.0,4.0,12.0
b,d,d,8.0,NaN,25.0,19.0,4.0
a,d,d,1.0,4.0,4.0,10.0,13.0
d,c,d,4.0,NaN,14.0,7.0,14.0
a,a,d,9.0,0.0,23.0,3.0,16.0
a,c,?,2.0,9.0,18.0,14.0,13.0
?,a,a,NaN,9.0,28.0,7.0,14.0
d,a,c,7.0,3.0,6.0,6.0,17.0
b,c,a,9.0,2.0,21.0,10.0,4.0
c,c,d,7.0,6.0,5.0,2.0,17.0
c,d,a,NaN,9.0,27.0,12.0,16.0
?,?,b,7.0,4.0,12.0,11.0,18.0
b,b,a,8.0,1.0,24.0,2.0,9.0
?,c,b,3.0,NaN,10.0,17.0,19.0
d,d,a,3.0,0.0,9.0,2.0,3.0
?,b,?,3.0,2.0,23.0,17.0,9.0
c,c,d,8.0,3.0,18.0,16.0,3.0
c,b,b,2.0,2.0,NaN,10.0,9.0
b,d,?,1.0,4.0,29.0,18.0,6.0
a,a,c,NaN,8.0,10.0,5.0,11.0
?,a,?,6.0,7.0,20.0,1.0,14.0
?,d,d,1.0,9.0,5.0,5.0,18.0
b,c,d,NaN,7.0,25.0,0.0,1.0
b,c,d,6.0,0.0,19.0,18.0,16.0
?,?,?,1.0,8.0,NaN,6.0,19.0
?,c,d,2.0,7.0,18.0,13.0,7.0
b,b,d,5.0,3.0,18.0,14.0,9.0
a,a,b,0.0,1.0,24.0,4.0,12.0
d,c,c,7.0,NaN,4.0,18.0,13.0
d,c,c,6.0,3.0,22.0,17.0,6.0
?,c,b,6.0,NaN,9.0,19.0,13.0
?,c,d,2.0,8.0,16.0,0.0,5.0
a,?,a,7.0,5.0,9.0,8.0,2.0
b,d,b,5.0,1.0,11.0,9.0,3.0
b,c,b,3.0,9.0,12.0,8.0,17.0
b,?,d,8.0,4.0,13.0,1.0,16.0
c,c,d,5.0,1.0,27.0,0.0,6.0
d,?,b,5.0,6.0,22.0,16.0,2.0
c,?,b,1.0,NaN,10.0,16.0,7.0
d,c,d,7.0,2.0,12.0,4.0,0.0
a,c,a,1.0,5.0,5.0,17.0,3.0
b,d,c,2.0,NaN,28.0,16.0,19.0
b,?,b,9.0,4.0,20.0,13.0,14.0
d,?,c,8.0,NaN,10.0,1.0,8.0
b,?,b,5.0,5.0,18.0,19.0,12.0
?,c,b,7.0,3.0,26.0,9.0,8.0
d,d,b,9.0,3.0,2.0,4.0,17.0
c,c,c,6.0,5.0,10.0,4.0,17.0
?,b,a,8.0,7.0,15.0,12.0,2.0
?,b,d,8.0,9.0,19.0,13.0,6.0
