attr_categorical0,attr_categorical1,attr_categorical2,attr_categorical3,attr_categorical4,attr_categorical5,target0,target1
b,d,c,?,?,b,9.0,15.0
?,a,a,d,a,a,19.0,17.0
c,d,?,c,?,c,16.0,7.0
c,a,c,?,c,d,12.0,3.0
a,d,b,b,a,d,19.0,11.0
b,a,a,?,a,b,7.0,9.0
d,c,d,?,d,b,17.0,1.0
c,a,a,?,a,b,5.0,2.0
d,a,a,b,?,c,3.0,14.0
b,a,c,c,d,d,13.0,10.0
d,?,?,c,d,a,3.0,7.0
c,b,c,a,d,d,15.0,8.0
?,b,?,?,a,c,13.0,18.0
c,a,?,b,d,c,10.0,14.0
?,?,d,a,?,?,17.0,10.0
c,b,?,?,c,?,9.0,12.0
?,?,a,b,b,d,3.0,17.0
?,b,b,b,b,?,2.0,7.0
c,d,?,c,a,b,12.0,9.0
b,c,d,d,a,?,10.0,14.0
c,?,a,c,?,?,14.0,16.0
?,?,d,b,c,d,19.0,7.0
?,a,c,d,a,c,1.0,9.0
b,b,b,c,c,d,11.0,12.0
d,b,b,?,?,d,15.0,16.0
d,b,?,d,a,b,13.0,2.0
b,d,d,d,b,b,9.0,10.0
?,?,a,c,c,a,4.0,6.0
a,c,a,d,d,c,0.0,14.0
?,?,d,c,c,c,5.0,3.0
a,a,?,?,?,a,17.0,8.0
c,a,a,a,c,?,10.0,18.0
d,b,?,?,d,?,7.0,14.0
a,a,c,a,b,d,19.0,7.0
?,d,?,?,b,?,9.0,8.0
b,b,c,c,?,?,5.0,8.0
a,?,a,b,?,?,15.0,17.0
d,b,a,c,b,b,1.0,4.0
b,d,a,?,c,d,11.0,2.0
a,d,c,b,a,b,6.0,13.0
?,b,d,d,a,d,14.0,19.0
d,d,a,a,b,?,2.0,13.0
b,?,a,b,d,c,1.0,1.0
?,a,c,?,?,d,14.0,3.0
?,d,c,b,b,c,2.0,10.0
b,d,?,?,?,a,12.0,4.0
c,c,a,b,a,c,13.0,17.0
b,b,c,d,?,a,13.0,2.0
?,b,?,c,b,a,7.0,19.0
c,c,d,a,d,b,0.0,0.0
a,b,?,?,c,c,12.0,13.0
b,d,c,d,a,d,5.0,2.0
a,b,c,c,d,a,19.0,11.0
c,b,b,b,d,a,7.0,10.0
b,b,d,d,a,a,0.0,3.0
a,c,d,c,b,a,18.0,12.0
d,b,b,d,c,d,0.0,9.0
?,?,c,c,b,d,17.0,5.0
b,b,d,?,c,b,4.0,6.0
a,d,c,?,c,d,9.0,15.0
b,c,d,d,?,d,16.0,2.0
d,a,a,?,c,b,10.0,2.0
c,?,a,b,b,?,8.0,13.0
b,b,?,b,c,?,12.0,14.0
a,b,c,c,d,a,2.0,5.0
c,a,?,a,?,b,1.0,15.0
a,a,a,c,c,b,0.0,6.0
d,d,d,?,b,?,1.0,12.0
a,?,d,a,a,?,2.0,19.0
c,c,?,d,a,?,9.0,0.0
c,?,b,c,?,c,13.0,9.0
a,?,c,?,b,?,0.0,13.0
c,d,?,c,b,c,1.0,16.0
b,c,d,c,d,d,2.0,10.0
c,?,?,b,b,a,8.0,4.0
c,?,b,c,b,c,8.0,11.0
d,a,b,d,a,a,12.0,12.0
d,b,c,b,b,d,6.0,0.0
d,c,a,d,a,?,1.0,5.0
b,a,?,d,d,?,2.0,1.0
?,c,?,d,?,?,3.0,16.0
c,?,a,?,a,c,3.0,11.0
d,b,a,c,a,a,15.0,10.0
?,?,a,?,b,b,11.0,2.0
a,?,b,d,a,b,18.0,19.0
a,b,a,?,?,a,3.0,11.0
c,a,a,a,d,d,5.0,8.0
b,d,b,d,?,b,16.0,17.0
d,d,b,b,a,d,10.0,18.0
?,c,?,b,b,c,17.0,15.0
?,?,a,?,c,d,2.0,2.0
a,c,?,d,b,d,10.0,10.0
a,d,b,c,?,b,10.0,10.0
?,a,a,?,b,c,6.0,2.0
?,c,a,d,b,d,1.0,3.0
?,a,c,c,a,d,4.0,7.0
c,d,a,b,d,b,3.0,13.0
c,b,a,c,c,?,17.0,4.0
a,a,d,d,?,c,13.0,1.0
b,c,c,a,a,c,0.0,8.0
