attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
b,?,a,28.0,NaN,7.0,4.0,9.0
a,?,c,38.0,6.0,13.0,10.0,11.0
a,a,a,7.0,NaN,27.0,5.0,12.0
c,?,?,19.0,9.0,27.0,12.0,12.0
a,?,c,36.0,12.0,2.0,9.0,18.0
d,c,d,7.0,9.0,6.0,13.0,19.0
a,c,b,NaN,14.0,4.0,13.0,3.0
a,b,d,31.0,15.0,36.0,18.0,15.0
?,c,b,23.0,15.0,7.0,9.0,14.0
a,c,b,18.0,15.0,17.0,4.0,15.0
d,d,d,10.0,4.0,38.0,18.0,17.0
a,b,b,NaN,13.0,36.0,19.0,4.0
b,?,d,24.0,12.0,20.0,13.0,8.0
d,a,b,31.0,19.0,32.0,7.0,17.0
d,c,b,9.0,18.0,20.0,8.0,1.0
?,c,?,25.0,18.0,3.0,10.0,12.0
c,b,d,4.0,10.0,18.0,8.0,0.0
d,d,b,21.0,2.0,38.0,1.0,3.0
c,?,?,5.0,2.0,30.0,2.0,6.0
?,d,?,15.0,0.0,19.0,10.0,5.0
c,b,?,17.0,1.0,32.0,1.0,9.0
d,b,d,8.0,13.0,39.0,4.0,7.0
d,c,a,37.0,7.0,24.0,13.0,1.0
a,c,d,1.0,6.0,34.0,3.0,10.0
d,a,d,22.0,14.0,NaN,10.0,6.0
b,c,a,4.0,17.0,28.0,16.0,3.0
b,?,?,29.0,9.0,0.0,17.0,15.0
d,?,?,10.0,6.0,19.0,13.0,17.0
?,c,c,4.0,2.0,24.0,8.0,19.0
?,c,?,23.0,14.0,NaN,8.0,7.0
?,a,d,NaN,8.0,37.0,10.0,17.0
b,?,b,0.0,17.0,20.0,2.0,5.0
?,?,d,NaN,13.0,16.0,4.0,1.0
?,b,d,34.0,16.0,29.0,14.0,12.0
d,b,b,17.0,3.0,21.0,11.0,9.0
c,c,b,20.0,3.0,30.0,19.0,17.0
d,?,b,17.0,14.0,14.0,9.0,5.0
a,a,?,12.0,12.0,NaN,10.0,0.0
c,b,c,27.0,NaN,29.0,18.0,7.0
?,a,a,11.0,16.0,23.0,18.0,19.0
c,b,a,38.0,5.0,17.0,19.0,13.0
b,b,d,10.0,8.0,35.0,9.0,14.0
?,a,?,36.0,16.0,9.0,12.0,19.0
c,d,b,7.0,9.0,4.0,5.0,11.0
d,c,?,14.0,6.0,29.0,10.0,0.0
d,?,c,30.0,8.0,10.0,0.0,0.0
a,c,c,33.0,19.0,19.0,6.0,8.0
?,d,b,4.0,NaN,18.0,1.0,16.0
a,d,d,26.0,11.0,33.0,18.0,1.0
d,?,b,1.0,9.0,13.0,18.0,3.0
a,?,a,6.0,NaN,13.0,17.0,13.0
d,b,b,32.0,11.0,13.0,1.0,0.0
?,d,a,35.0,NaN,4.0,3.0,3.0
a,a,?,NaN,12.0,31.0,8.0,15.0
b,b,b,39.0,7.0,31.0,13.0,10.0
b,a,c,16.0,11.0,22.0,16.0,10.0
a,c,b,22.0,7.0,37.0,10.0,0.0
?,?,a,6.0,5.0,5.0,5.0,6.0
b,c,?,26.0,11.0,8.0,10.0,3.0
b,a,a,1.0,16.0,2.0,1.0,1.0
a,a,c,16.0,2.0,10.0,1.0,9.0
c,a,a,35.0,15.0,35.0,3.0,14.0
?,?,b,1.0,2.0,22.0,17.0,19.0
b,b,a,2.0,8.0,24.0,4.0,5.0
a,b,?,5.0,NaN,20.0,11.0,8.0
b,a,b,39.0,NaN,3.0,13.0,9.0
a,d,a,2.0,6.0,31.0,14.0,17.0
b,?,d,1.0,NaN,22.0,7.0,19.0
a,d,c,7.0,9.0,14.0,12.0,11.0
c,c,d,23.0,19.0,26.0,19.0,7.0
d,a,b,39.0,2.0,0.0,3.0,3.0
b,a,b,5.0,17.0,11.0,12.0,8.0
c,a,?,18.0,14.0,8.0,1.0,12.0
c,?,c,12.0,1.0,24.0,4.0,4.0
b,d,a,17.0,NaN,11.0,18.0,0.0
d,c,?,0.0,6.0,31.0,5.0,4.0
b,a,c,NaN,1.0,24.0,17.0,8.0
d,d,?,8.0,3.0,11.0,6.0,7.0
?,a,?,0.0,0.0,14.0,8.0,15.0
a,b,b,29.0,1.0,32.0,14.0,5.0
a,b,?,6.0,13.0,27.0,0.0,17.0
d,b,d,21.0,16.0,19.0,6.0,19.0
c,b,a,11.0,NaN,36.0,15.0,1.0
d,d,?,13.0,2.0,28.0,3.0,3.0
c,c,?,33.0,18.0,18.0,13.0,17.0
a,a,a,17.0,7.0,13.0,8.0,12.0
b,?,d,26.0,19.0,NaN,16.0,8.0
a,d,?,38.0,7.0,1.0,12.0,15.0
c,b,c,16.0,10.0,36.0,14.0,15.0
b,d,b,12.0,8.0,6.0,1.0,1.0
?,?,c,14.0,17.0,12.0,0.0,4.0
?,d,b,31.0,9.0,13.0,5.0,17.0
?,?,b,21.0,3.0,22.0,10.0,10.0
a,b,c,NaN,NaN,26.0,9.0,13.0
b,d,a,NaN,NaN,9.0,2.0,10.0
?,d,b,3.0,14.0,NaN,10.0,11.0
d,d,?,9.0,NaN,9.0,13.0,10.0
d,a,b,35.0,18.0,NaN,16.0,0.0
?,a,b,0.0,2.0,33.0,12.0,2.0
?,b,d,25.0,NaN,3.0,8.0,12.0
