attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
c,b,d,42.0,0.0,13.0,13.0,0.0
d,d,b,25.0,2.0,21.0,2.0,6.0
c,a,b,30.0,8.0,38.0,4.0,6.0
c,a,d,12.0,0.0,36.0,12.0,7.0
c,d,d,32.0,3.0,16.0,6.0,18.0
b,c,d,14.0,6.0,8.0,17.0,3.0
b,b,c,45.0,7.0,19.0,19.0,12.0
b,d,b,49.0,1.0,37.0,2.0,2.0
a,b,d,36.0,4.0,26.0,13.0,11.0
c,b,c,31.0,7.0,35.0,8.0,15.0
a,b,d,4.0,4.0,24.0,3.0,0.0
b,d,a,14.0,7.0,27.0,19.0,7.0
b,c,a,5.0,3.0,24.0,12.0,13.0
d,b,d,48.0,0.0,31.0,11.0,6.0
a,b,b,6.0,9.0,37.0,10.0,2.0
b,c,a,32.0,8.0,26.0,14.0,12.0
d,c,c,49.0,5.0,9.0,1.0,17.0
d,a,a,42.0,1.0,35.0,19.0,14.0
b,b,c,23.0,4.0,1.0,19.0,7.0
d,a,c,25.0,6.0,3.0,5.0,16.0
c,d,c,1.0,1.0,34.0,19.0,7.0
d,d,b,38.0,2.0,29.0,2.0,15.0
a,c,b,7.0,7.0,36.0,15.0,0.0
a,d,b,37.0,0.0,7.0,0.0,3.0
c,c,d,44.0,4.0,30.0,19.0,16.0
b,a,b,19.0,3.0,14.0,14.0,2.0
a,a,d,26.0,1.0,16.0,16.0,15.0
c,a,c,48.0,0.0,37.0,9.0,3.0
d,b,c,6.0,6.0,34.0,2.0,9.0
a,d,a,6.0,3.0,24.0,14.0,4.0
c,a,b,17.0,0.0,15.0,12.0,1.0
c,d,c,22.0,9.0,28.0,1.0,10.0
b,c,d,9.0,0.0,36.0,6.0,0.0
d,c,a,42.0,2.0,26.0,10.0,18.0
b,c,b,42.0,3.0,33.0,16.0,2.0
b,d,d,46.0,3.0,37.0,11.0,0.0
c,c,a,34.0,0.0,35.0,3.0,1.0
d,b,a,24.0,7.0,30.0,17.0,7.0
d,a,c,33.0,1.0,17.0,17.0,7.0
a,d,b,8.0,9.0,0.0,3.0,19.0
c,a,a,8.0,5.0,3.0,5.0,18.0
d,b,d,17.0,5.0,22.0,15.0,6.0
d,a,c,30.0,4.0,17.0,9.0,9.0
a,b,a,19.0,1.0,36.0,2.0,2.0
b,a,b,2.0,6.0,4.0,10.0,16.0
c,a,b,32.0,9.0,37.0,14.0,19.0
c,a,d,22.0,4.0,29.0,0.0,7.0
c,a,a,5.0,7.0,31.0,5.0,4.0
a,b,b,37.0,7.0,31.0,10.0,13.0
b,c,b,28.0,1.0,3.0,12.0,6.0
a,d,d,1.0,6.0,10.0,14.0,18.0
b,d,c,21.0,2.0,31.0,12.0,0.0
c,c,a,46.0,9.0,26.0,0.0,5.0
d,c,c,27.0,0.0,24.0,1.0,4.0
c,b,b,16.0,4.0,9.0,11.0,0.0
b,d,c,26.0,7.0,23.0,10.0,5.0
a,d,c,34.0,5.0,3.0,17.0,6.0
c,c,d,38.0,4.0,35.0,16.0,1.0
a,a,c,33.0,8.0,32.0,14.0,17.0
b,a,b,11.0,2.0,20.0,12.0,4.0
a,b,a,20.0,7.0,18.0,3.0,3.0
a,c,b,8.0,5.0,11.0,1.0,2.0
b,d,d,43.0,3.0,11.0,13.0,4.0
d,d,d,28.0,5.0,10.0,12.0,3.0
b,b,b,14.0,8.0,0.0,9.0,2.0
c,a,b,37.0,9.0,0.0,15.0,17.0
b,d,c,13.0,8.0,18.0,12.0,18.0
c,b,d,37.0,7.0,28.0,17.0,13.0
d,b,c,37.0,8.0,1.0,17.0,1.0
a,c,a,0.0,0.0,35.0,13.0,3.0
b,a,d,40.0,2.0,5.0,5.0,3.0
d,a,b,47.0,7.0,20.0,16.0,1.0
a,c,c,23.0,2.0,25.0,7.0,5.0
d,b,a,3.0,8.0,19.0,4.0,18.0
a,a,c,34.0,0.0,31.0,14.0,0.0
b,a,d,19.0,2.0,1.0,17.0,16.0
a,b,a,27.0,7.0,30.0,17.0,2.0
c,b,a,22.0,5.0,17.0,13.0,9.0
c,c,a,26.0,1.0,36.0,13.0,16.0
c,c,b,20.0,4.0,17.0,6.0,19.0
d,d,b,27.0,5.0,23.0,4.0,7.0
b,c,c,47.0,6.0,15.0,10.0,6.0
d,c,a,10.0,0.0,39.0,18.0,16.0
c,a,a,27.0,9.0,1.0,17.0,15.0
d,d,a,42.0,3.0,13.0,1.0,17.0
c,c,c,27.0,1.0,30.0,13.0,2.0
b,a,c,5.0,8.0,19.0,3.0,14.0
a,a,b,17.0,8.0,16.0,16.0,14.0
c,d,c,48.0,6.0,29.0,8.0,19.0
c,c,a,4.0,8.0,33.0,16.0,8.0
d,a,b,27.0,4.0,33.0,12.0,10.0
d,d,a,47.0,1.0,11.0,6.0,16.0
d,a,c,33.0,0.0,22.0,5.0,9.0
c,b,a,20.0,5.0,3.0,1.0,15.0
a,c,a,6.0,8.0,3.0,5.0,16.0
d,b,a,47.0,4.0,25.0,19.0,1.0
b,d,c,28.0,5.0,19.0,0.0,0.0
a,b,b,48.0,2.0,13.0,5.0,19.0
c,d,c,4.0,3.0,11.0,6.0,2.0
b,c,b,6.0,0.0,33.0,14.0,8.0
