attr_categorical0,attr_categorical1,attr_categorical2,attr_numerical0,attr_numerical1,attr_numerical2,target0,target1
c,c,a,4.0,2.0,NaN,19.0,3.0
a,d,d,0.0,2.0,18.0,19.0,18.0
a,a,?,2.0,1.0,16.0,14.0,6.0
a,d,?,8.0,NaN,16.0,10.0,2.0
b,d,c,7.0,4.0,3.0,14.0,14.0
c,c,b,9.0,4.0,10.0,0.0,8.0
b,?,c,2.0,6.0,29.0,15.0,17.0
c,a,b,5.0,2.0,18.0,3.0,19.0
a,b,?,5.0,5.0,7.0,12.0,2.0
d,b,c,3.0,2.0,12.0,1.0,15.0
d,a,c,NaN,5.0,NaN,11.0,8.0
b,d,d,0.0,7.0,13.0,17.0,1.0
d,a,d,8.0,7.0,10.0,17.0,18.0
b,d,b,2.0,9.0,7.0,5.0,10.0
b,a,c,9.0,NaN,10.0,4.0,0.0
c,a,c,NaN,1.0,23.0,0.0,5.0
c,?,d,3.0,NaN,26.0,16.0,8.0
d,b,d,5.0,NaN,16.0,16.0,9.0
c,b,d,8.0,9.0,29.0,18.0,11.0
?,c,c,NaN,8.0,18.0,0.0,18.0
c,c,?,1.0,0.0,29.0,18.0,9.0
?,a,a,NaN,7.0,25.0,8.0,18.0
d,?,c,NaN,3.0,21.0,3.0,11.0
b,?,b,3.0,8.0,15.0,6.0,15.0
d,d,b,1.0,7.0,NaN,10.0,1.0
d,c,c,9.0,1.0,3.0,13.0,19.0
a,a,c,2.0,NaN,16.0,10.0,17.0
c,c,a,5.0,8.0,10.0,13.0,10.0
a,c,a,0.0,5.0,23.0,12.0,18.0
?,b,c,8.0,1.0,15.0,11.0,15.0
b,?,?,9.0,0.0,5.0,11.0,14.0
d,b,?,4.0,4.0,1.0,1.0,2.0
c,d,a,0.0,0.0,NaN,17.0,13.0
d,b,a,3.0,0.0,5.0,1.0,15.0
c,b,b,0.0,6.0,25.0,18.0,14.0
a,a,b,NaN,0.0,27.0,3.0,11.0
d,c,b,9.0,1.0,18.0,10.0,2.0
?,?,d,9.0,4.0,25.0,18.0,9.0
?,c,c,6.0,4.0,28.0,2.0,2.0
?,c,a,1.0,4.0,14.0,9.0,18.0
?,c,d,7.0,NaN,22.0,3.0,13.0
a,c,a,9.0,1.0,23.0,10.0,10.0
c,b,c,NaN,6.0,5.0,9.0,15.0
a,a,c,0.0,9.0,18.0,19.0,2.0
?,c,?,NaN,8.0,24.0,16.0,2.0
c,d,a,8.0,1.0,29.0,11.0,14.0
d,?,b,5.0,7.0,1.0,5.0,1.0
b,c,?,3.0,2.0,18.0,17.0,14.0
b,b,?,5.0,1.0,16.0,17.0,13.0
c,c,d,5.0,7.0,17.0,12.0,3.0
d,a,a,8.0,NaN,1.0,2.0,9.0
d,?,a,9.0,9.0,15.0,7.0,9.0
c,d,c,NaN,7.0,0.0,16.0,4.0
b,?,?,NaN,3.0,6.0,2.0,9.0
b,d,?,1.0,7.0,14.0,0.0,4.0
b,?,a,2.0,NaN,19.0,4.0,7.0
a,?,d,5.0,4.0,13.0,9.0,17.0
b,b,d,3.0,9.0,4.0,10.0,19.0
b,c,d,NaN,2.0,10.0,13.0,19.0
d,c,?,7.0,0.0,4.0,7.0,11.0
a,d,d,1.0,9.0,29.0,6.0,4.0
b,?,a,6.0,2.0,22.0,5.0,7.0
d,d,b,0.0,0.0,4.0,11.0,12.0
d,c,a,2.0,NaN,11.0,8.0,12.0
c,?,?,1.0,8.0,15.0,16.0,10.0
a,b,?,5.0,NaN,8.0,1.0,6.0
a,b,d,3.0,9.0,20.0,3.0,17.0
d,?,a,8.0,0.0,15.0,18.0,15.0
?,b,d,5.0,5.0,4.0,11.0,6.0
c,?,a,4.0,4.0,22.0,3.0,7.0
?,b,b,6.0,6.0,29.0,3.0,14.0
?,a,d,0.0,NaN,20.0,7.0,19.0
c,d,d,9.0,9.0,22.0,6.0,6.0
a,?,d,5.0,5.0,17.0,14.0,2.0
?,b,?,5.0,7.0,26.0,17.0,12.0
d,c,c,1.0,8.0,NaN,12.0,3.0
d,d,c,3.0,8.0,26.0,13.0,8.0
?,c,a,3.0,8.0,17.0,7.0,19.0
d,d,b,5.0,9.0,11.0,17.0,14.0
a,?,d,7.0,8.0,1.0,17.0,8.0
c,c,?,NaN,5.0,29.0,8.0,9.0
d,c,?,4.0,7.0,11.0,16.0,4.0
a,a,a,9.0,3.0,22.0,6.0,3.0
d,a,?,0.0,6.0,29.0,16.0,19.0
c,b,b,7.0,2.0,23.0,9.0,1.0
?,a,a,3.0,6.0,2.0,4.0,0.0
a,?,a,4.0,5.0,NaN,0.0,9.0
a,?,?,2.0,2.0,27.0,12.0,8.0
?,?,a,NaN,9.0,NaN,11.0,14.0
a,?,c,7.0,5.0,17.0,1.0,4.0
d,d,c,0.0,1.0,16.0,16.0,11.0
c,d,c,0.0,NaN,7.0,8.0,10.0
c,a,d,8.0,7.0,29.0,13.0,7.0
?,d,b,5.0,2.0,24.0,16.0,10.0
b,d,?,3.0,7.0,18.0,1.0,4.0
c,b,?,3.0,6.0,8.0,19.0,1.0
?,b,d,5.0,5.0,25.0,8.0,2.0
b,a,b,9.0,8.0,5.0,18.0,15.0
a,d,c,NaN,2.0,28.0,2.0,0.0
?,d,c,8.0,3.0,8.0,11.0,6.0
